 SALE PRICE ,BUILDING CLASS CATEGORY
 .   ,01  ONE FAMILY DWELLINGS                    
"1,055,000",01  ONE FAMILY DWELLINGS                    
"1,775,000",01  ONE FAMILY DWELLINGS                    
"234,000",01  ONE FAMILY DWELLINGS                    
"795,000",01  ONE FAMILY DWELLINGS                    
"920,000",01  ONE FAMILY DWELLINGS                    
"955,000",01  ONE FAMILY DWELLINGS                    
"1,410,000",01  ONE FAMILY DWELLINGS                    
"1,250,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,260,000",01  ONE FAMILY DWELLINGS                    
"855,000",01  ONE FAMILY DWELLINGS                    
"1,648,000",01  ONE FAMILY DWELLINGS                    
"1,300,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",01  ONE FAMILY DWELLINGS                    
"884,000",01  ONE FAMILY DWELLINGS                    
"875,000",01  ONE FAMILY DWELLINGS                    
"805,000",01  ONE FAMILY DWELLINGS                    
"740,000",01  ONE FAMILY DWELLINGS                    
"1,200,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,375,000",01  ONE FAMILY DWELLINGS                    
"1,200,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"800,000",01  ONE FAMILY DWELLINGS                    
"911,333",01  ONE FAMILY DWELLINGS                    
"947,000",01  ONE FAMILY DWELLINGS                    
"775,000",01  ONE FAMILY DWELLINGS                    
"1,685,000",01  ONE FAMILY DWELLINGS                    
"1,963,000",01  ONE FAMILY DWELLINGS                    
"2,350,000",01  ONE FAMILY DWELLINGS                    
"2,930,000",01  ONE FAMILY DWELLINGS                    
"1,112,000",01  ONE FAMILY DWELLINGS                    
"1,112,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",01  ONE FAMILY DWELLINGS                    
"1,450,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"730,000",01  ONE FAMILY DWELLINGS                    
"762,000",01  ONE FAMILY DWELLINGS                    
"770,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,733,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",01  ONE FAMILY DWELLINGS                    
"870,000",01  ONE FAMILY DWELLINGS                    
"700,000",01  ONE FAMILY DWELLINGS                    
"1,140,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,100,000",01  ONE FAMILY DWELLINGS                    
"1,175,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,325,000",01  ONE FAMILY DWELLINGS                    
"2,500,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"2,175,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,025,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"2,275,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,625,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"800,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,600,000",01  ONE FAMILY DWELLINGS                    
"1,080,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"960,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,415,000",01  ONE FAMILY DWELLINGS                    
"1,020,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"960,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
"600,000",01  ONE FAMILY DWELLINGS                    
"655,000",01  ONE FAMILY DWELLINGS                    
"588,000",01  ONE FAMILY DWELLINGS                    
"700,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"995,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"818,000",01  ONE FAMILY DWELLINGS                    
"700,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"815,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",01  ONE FAMILY DWELLINGS                    
"1,100,000",01  ONE FAMILY DWELLINGS                    
"1,250,000",01  ONE FAMILY DWELLINGS                    
"1,550,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"770,000",01  ONE FAMILY DWELLINGS                    
"747,500",01  ONE FAMILY DWELLINGS                    
"839,000",01  ONE FAMILY DWELLINGS                    
"1,050,000",01  ONE FAMILY DWELLINGS                    
"900,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"324,813",01  ONE FAMILY DWELLINGS                    
"960,000",01  ONE FAMILY DWELLINGS                    
"980,000",01  ONE FAMILY DWELLINGS                    
"720,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"1,185,000",01  ONE FAMILY DWELLINGS                    
"910,000",01  ONE FAMILY DWELLINGS                    
"820,000",01  ONE FAMILY DWELLINGS                    
"710,000",01  ONE FAMILY DWELLINGS                    
"809,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"917,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
"755,000",01  ONE FAMILY DWELLINGS                    
"630,000",01  ONE FAMILY DWELLINGS                    
